,Player,W,T,L,Win %,Total
428,Norris Weese,3.0,0.0,2.0,0.6,5.0
429,Oliver Luck,2.0,0.0,1.0,0.6666666666666666,3.0
430,P.J. Walker,2.0,0.0,2.0,0.5,4.0
431,Pat Haden,12.0,1.0,10.0,0.5434782608695652,23.0
432,Pat Ryan,4.0,0.0,6.0,0.4,10.0
433,Pat Sullivan,0.0,0.0,2.0,0.0,2.0
434,Patrick Mahomes,25.0,0.0,16.0,0.6097560975609756,41.0
435,Patrick Ramsey,3.0,0.0,10.0,0.23076923076923078,13.0
436,Paul Justin,3.0,0.0,3.0,0.5,6.0
437,Paul McDonald,2.0,0.0,7.0,0.2222222222222222,9.0
438,Paxton Lynch,0.0,0.0,2.0,0.0,2.0
439,Pete Beathard,3.0,0.0,11.0,0.21428571428571427,14.0
440,Pete Liske,3.0,0.0,9.0,0.25,12.0
441,Peter Tom Willis,0.0,0.0,2.0,0.0,2.0
442,Peyton Manning,61.0,0.0,57.0,0.5169491525423728,118.0
443,Phil Simms,24.0,0.0,35.0,0.4067796610169492,59.0
444,Philip Rivers,36.0,0.0,62.0,0.3673469387755102,98.0
445,Quincy Carter,4.0,0.0,9.0,0.3076923076923077,13.0
446,Quinn Gray,2.0,0.0,0.0,1.0,2.0
447,Randall Cunningham,29.0,0.0,30.0,0.4915254237288136,59.0
448,Randy Dean,0.0,0.0,2.0,0.0,2.0
449,Randy Fasani,0.0,0.0,1.0,0.0,1.0
450,Randy Hedberg,0.0,0.0,3.0,0.0,3.0
451,Randy Johnson,1.0,0.0,27.0,0.03571428571428571,28.0
452,Randy Wright,4.0,0.0,14.0,0.2222222222222222,18.0
453,Ray Lucas,4.0,0.0,4.0,0.5,8.0
454,Reggie Collier,0.0,0.0,1.0,0.0,1.0
455,Rex Grossman,6.0,0.0,10.0,0.375,16.0
456,Rich Gannon,24.0,0.0,30.0,0.4444444444444444,54.0
457,Richard Todd,17.0,1.0,30.0,0.3645833333333333,48.0
458,Rick Arrington,0.0,1.0,2.0,0.16666666666666666,3.0
459,Rick Mirer,8.0,0.0,27.0,0.22857142857142856,35.0
460,Rick Norton,0.0,0.0,5.0,0.0,5.0
461,Rob Johnson,4.0,0.0,10.0,0.2857142857142857,14.0
462,Robert Griffin III,5.0,0.0,13.0,0.2777777777777778,18.0
463,Rodney Peete,10.0,0.0,28.0,0.2631578947368421,38.0
464,Roger Staubach,26.0,0.0,21.0,0.5531914893617021,47.0
465,Roman Gabriel,26.0,3.0,38.0,0.41044776119402987,67.0
466,Ron Jaworski,18.0,0.0,44.0,0.2903225806451613,62.0
467,Ron Smith,2.0,0.0,3.0,0.4,5.0
468,Ron Vander Kelen,0.0,0.0,3.0,0.0,3.0
469,Rudy Bukich,2.0,0.0,5.0,0.2857142857142857,7.0
470,Russell Wilson,43.0,0.0,41.0,0.5119047619047619,84.0
471,Rusty Hilger,0.0,0.0,7.0,0.0,7.0
472,Rusty Lisch,0.0,0.0,1.0,0.0,1.0
473,Ryan Finley,1.0,0.0,1.0,0.5,2.0
474,Ryan Fitzpatrick,9.0,1.0,55.0,0.14615384615384616,65.0
475,Ryan Leaf,1.0,0.0,7.0,0.125,8.0
476,Ryan Lindley,0.0,0.0,2.0,0.0,2.0
477,Ryan Mallett,1.0,0.0,3.0,0.25,4.0
478,Ryan Tannehill,30.0,0.0,44.0,0.40540540540540543,74.0
479,Sage Rosenfels,2.0,0.0,5.0,0.2857142857142857,7.0
480,Sam Bradford,11.0,1.0,25.0,0.3108108108108108,37.0
481,Sam Darnold,7.0,0.0,20.0,0.25925925925925924,27.0
482,Sam Howell,1.0,0.0,9.0,0.1,10.0
483,Sam Wyche,1.0,0.0,4.0,0.2,5.0
484,Sammy Garza,0.0,0.0,1.0,0.0,1.0
485,Scott Brunner,2.0,0.0,12.0,0.14285714285714285,14.0
486,Scott Bull,1.0,0.0,2.0,0.3333333333333333,3.0
487,Scott Campbell,1.0,0.0,6.0,0.14285714285714285,7.0
488,Scott Covington,1.0,0.0,0.0,1.0,1.0
489,Scott Hunter,9.0,2.0,11.0,0.45454545454545453,22.0
490,Scott Mitchell,13.0,0.0,23.0,0.3611111111111111,36.0
491,Scott Secules,0.0,0.0,2.0,0.0,2.0
492,Scott Tinsley,0.0,0.0,1.0,0.0,1.0
493,Scott Tolzien,0.0,0.0,2.0,0.0,2.0
494,Scott Zolak,2.0,0.0,3.0,0.4,5.0
495,Scotty Glacken,0.0,0.0,1.0,0.0,1.0
496,Sean Mannion,0.0,0.0,1.0,0.0,1.0
497,Sean Salisbury,5.0,0.0,2.0,0.7142857142857143,7.0
498,Seneca Wallace,1.0,0.0,13.0,0.07142857142857142,14.0
499,Shane Matthews,5.0,0.0,8.0,0.38461538461538464,13.0
500,Shaun Hill,5.0,0.0,13.0,0.2777777777777778,18.0
501,Shaun King,6.0,0.0,6.0,0.5,12.0
502,Shawn Halloran,1.0,0.0,1.0,0.5,2.0
503,Skylar Thompson,0.0,0.0,1.0,0.0,1.0
504,Sonny Jurgensen,11.0,1.0,28.0,0.2875,40.0
505,Spergon Wynn,0.0,0.0,2.0,0.0,2.0
506,Stan Gelbaugh,0.0,0.0,7.0,0.0,7.0
507,Stan Humphries,15.0,0.0,20.0,0.42857142857142855,35.0
508,Stephen McGee,1.0,0.0,0.0,1.0,1.0
509,Steve Bartkowski,9.0,0.0,35.0,0.20454545454545456,44.0
510,Steve Beuerlein,13.0,0.0,32.0,0.28888888888888886,45.0
511,Steve Bono,8.0,0.0,8.0,0.5,16.0
512,Steve Bradley,0.0,0.0,1.0,0.0,1.0
513,Steve DeBerg,15.0,1.0,51.0,0.23134328358208955,67.0
514,Steve Dils,4.0,0.0,9.0,0.3076923076923077,13.0
515,Steve Fuller,5.0,0.0,14.0,0.2631578947368421,19.0
516,Steve Grogan,23.0,0.0,32.0,0.41818181818181815,55.0
517,Steve Matthews,1.0,0.0,0.0,1.0,1.0
518,Steve McNair,27.0,0.0,34.0,0.4426229508196721,61.0
519,Steve Myer,0.0,0.0,3.0,0.0,3.0
520,Steve Pelluer,1.0,1.0,14.0,0.09375,16.0
521,Steve Pisarkiewicz,0.0,0.0,1.0,0.0,1.0
522,Steve Ramsey,1.0,0.0,11.0,0.08333333333333333,12.0
523,Steve Spurrier,3.0,0.0,14.0,0.17647058823529413,17.0
524,Steve Stenstrom,0.0,0.0,5.0,0.0,5.0
525,Steve Tensi,4.0,0.0,16.0,0.2,20.0
526,Steve Walsh,6.0,0.0,14.0,0.3,20.0
527,Steve Young,26.0,0.0,27.0,0.49056603773584906,53.0
528,Stoney Case,1.0,0.0,2.0,0.3333333333333333,3.0
529,T.J. Rubley,0.0,0.0,2.0,0.0,2.0
530,T.J. Yates,3.0,0.0,3.0,0.5,6.0
531,Tarvaris Jackson,6.0,0.0,9.0,0.4,15.0
532,Taylor Heinicke,4.0,1.0,10.0,0.3,15.0
533,Taysom Hill,6.0,0.0,5.0,0.5454545454545454,11.0
534,Teddy Bridgewater,5.0,0.0,19.0,0.20833333333333334,24.0
535,Terrelle Pryor,1.0,0.0,5.0,0.16666666666666666,6.0
536,Terry Bradshaw,31.0,0.0,31.0,0.5,62.0
537,Terry Hanratty,2.0,0.0,8.0,0.2,10.0
538,Terry Nofsinger,0.0,0.0,2.0,0.0,2.0
539,Thaddeus Lewis,0.0,0.0,3.0,0.0,3.0
540,Tim Boyle,0.0,0.0,1.0,0.0,1.0
541,Tim Couch,7.0,0.0,21.0,0.25,28.0
542,Tim Hasselbeck,0.0,0.0,2.0,0.0,2.0
543,Tim Rattay,1.0,0.0,6.0,0.14285714285714285,7.0
544,Tim Tebow,0.0,0.0,3.0,0.0,3.0
545,Tim Van Galder,0.0,0.0,2.0,0.0,2.0
546,Timm Rosenbach,1.0,0.0,11.0,0.08333333333333333,12.0
547,Todd Blackledge,5.0,0.0,9.0,0.35714285714285715,14.0
548,Todd Bouman,0.0,0.0,3.0,0.0,3.0
549,Todd Collins,7.0,0.0,7.0,0.5,14.0
550,Todd Hons,0.0,0.0,1.0,0.0,1.0
551,Todd Marinovich,1.0,0.0,4.0,0.2,5.0
552,Todd Philcox,0.0,0.0,1.0,0.0,1.0
553,Tom Brady,82.0,0.0,55.0,0.5985401459854015,137.0
554,Tom Flick,1.0,0.0,1.0,0.5,2.0
555,Tom Flores,3.0,0.0,3.0,0.5,6.0
556,Tom Hodson,0.0,0.0,7.0,0.0,7.0
557,Tom Owen,0.0,0.0,2.0,0.0,2.0
558,Tom Ramsey,2.0,0.0,2.0,0.5,4.0
559,Tom Savage,0.0,0.0,5.0,0.0,5.0
560,Tom Sherman,0.0,0.0,2.0,0.0,2.0
561,Tom Tupa,2.0,0.0,4.0,0.3333333333333333,6.0
562,Tommy DeVito,1.0,0.0,3.0,0.25,4.0
563,Tommy Kramer,15.0,0.0,25.0,0.375,40.0
564,Tommy Maddox,5.0,1.0,12.0,0.3055555555555556,18.0
565,Tony Adams,0.0,0.0,4.0,0.0,4.0
566,Tony Banks,11.0,0.0,24.0,0.3142857142857143,35.0
567,Tony Eason,3.0,0.0,16.0,0.15789473684210525,19.0
568,Tony Romo,19.0,0.0,30.0,0.3877551020408163,49.0
569,Trent Dilfer,18.0,0.0,30.0,0.375,48.0
570,Trent Edwards,2.0,0.0,11.0,0.15384615384615385,13.0
571,Trent Green,20.0,0.0,33.0,0.37735849056603776,53.0
572,Trevor Lawrence,12.0,0.0,19.0,0.3870967741935484,31.0
573,Trevor Siemian,5.0,0.0,12.0,0.29411764705882354,17.0
574,Trey Lance,1.0,0.0,1.0,0.5,2.0
575,Troy Aikman,30.0,0.0,45.0,0.4,75.0
576,Troy Smith,1.0,0.0,3.0,0.25,4.0
577,Tua Tagovailoa,9.0,0.0,14.0,0.391304347826087,23.0
578,Turk Schonert,2.0,0.0,3.0,0.4,5.0
579,Ty Detmer,4.0,0.0,10.0,0.2857142857142857,14.0
580,Tyler Huntley,1.0,0.0,5.0,0.16666666666666666,6.0
581,Tyler Palko,0.0,0.0,2.0,0.0,2.0
582,Tyler Thigpen,0.0,0.0,5.0,0.0,5.0
583,Tyree Jackson,0.0,0.0,1.0,0.0,1.0
584,Tyrod Taylor,8.0,1.0,19.0,0.30357142857142855,28.0
585,Tyson Bagent,0.0,0.0,1.0,0.0,1.0
586,Vince Evans,5.0,0.0,13.0,0.2777777777777778,18.0
587,Vince Ferragamo,2.0,0.0,9.0,0.18181818181818182,11.0
588,Vince Young,8.0,0.0,13.0,0.38095238095238093,21.0
589,Vinny Testaverde,30.0,0.0,75.0,0.2857142857142857,105.0
590,Virgil Carter,2.0,0.0,5.0,0.2857142857142857,7.0
591,Wade Wilson,12.0,0.0,24.0,0.3333333333333333,36.0
592,Warren Moon,40.0,0.0,50.0,0.4444444444444444,90.0
593,Wayne Clark,0.0,0.0,3.0,0.0,3.0
594,Will Furrer,0.0,0.0,1.0,0.0,1.0
595,Will Grier,0.0,0.0,1.0,0.0,1.0
596,Will Levis,1.0,0.0,6.0,0.14285714285714285,7.0
597,Willie Totten,0.0,0.0,1.0,0.0,1.0
598,Zach Mettenberger,0.0,0.0,7.0,0.0,7.0
599,Zach Wilson,6.0,0.0,13.0,0.3157894736842105,19.0
600,Zeke Bratkowski,1.0,0.0,2.0,0.3333333333333333,3.0
