,Player,W,T,L,Win %,Total
97,Chad Hutchinson,0.0,0.0,6.0,0.0,6.0
98,Chad Pennington,12.0,0.0,24.0,0.3333333333333333,36.0
99,Charley Johnson,9.0,4.0,25.0,0.2894736842105263,38.0
100,Charlie Batch,11.0,0.0,19.0,0.36666666666666664,30.0
101,Charlie Frye,2.0,0.0,9.0,0.18181818181818182,11.0
102,Charlie Whitehurst,0.0,0.0,4.0,0.0,4.0
103,Chase Daniel,1.0,0.0,1.0,0.5,2.0
104,Chris Chandler,14.0,0.0,56.0,0.2,70.0
105,Chris Miller,14.0,0.0,37.0,0.27450980392156865,51.0
106,Chris Redman,3.0,0.0,5.0,0.375,8.0
107,Chris Simms,2.0,0.0,5.0,0.2857142857142857,7.0
108,Chris Streveler,0.0,0.0,1.0,0.0,1.0
109,Chris Weinke,0.0,0.0,9.0,0.0,9.0
110,Christian Ponder,4.0,1.0,13.0,0.25,18.0
111,Chuck Long,0.0,0.0,12.0,0.0,12.0
112,Clayton Tune,0.0,0.0,1.0,0.0,1.0
113,Cleo Lemon,0.0,0.0,5.0,0.0,5.0
114,Cliff Olander,1.0,0.0,0.0,1.0,1.0
115,Cliff Stoudt,2.0,0.0,6.0,0.25,8.0
116,Clint Longley,1.0,0.0,0.0,1.0,1.0
117,Cody Carlson,3.0,0.0,6.0,0.3333333333333333,9.0
118,Cody Kessler,1.0,0.0,7.0,0.125,8.0
119,Cody Pickett,0.0,0.0,2.0,0.0,2.0
120,Colin Kaepernick,11.0,0.0,19.0,0.36666666666666664,30.0
121,Colt McCoy,5.0,0.0,17.0,0.22727272727272727,22.0
122,Connor Shaw,0.0,0.0,1.0,0.0,1.0
123,Cooper Rush,2.0,0.0,1.0,0.6666666666666666,3.0
124,Cotton Davidson,0.0,0.0,2.0,0.0,2.0
125,Craig Erickson,6.0,0.0,14.0,0.3,20.0
126,Craig Krenzel,0.0,0.0,1.0,0.0,1.0
127,Craig Morton,23.0,0.0,40.0,0.36507936507936506,63.0
128,Craig Whelihan,0.0,0.0,6.0,0.0,6.0
129,Curtis Painter,0.0,0.0,4.0,0.0,4.0
130,Dak Prescott,26.0,0.0,29.0,0.4727272727272727,55.0
131,Damon Huard,5.0,0.0,6.0,0.45454545454545453,11.0
132,Dan Darragh,1.0,0.0,6.0,0.14285714285714285,7.0
133,Dan Fouts,25.0,1.0,55.0,0.3148148148148148,81.0
134,Dan Manucci,0.0,0.0,1.0,0.0,1.0
135,Dan Marino,52.0,0.0,63.0,0.45217391304347826,115.0
136,Dan McGwire,0.0,0.0,3.0,0.0,3.0
137,Dan Orlovsky,2.0,0.0,5.0,0.2857142857142857,7.0
138,Dan Pastorini,18.0,0.0,45.0,0.2857142857142857,63.0
139,Daniel Jones,5.0,0.0,22.0,0.18518518518518517,27.0
140,Danny Kanell,3.0,1.0,9.0,0.2692307692307692,13.0
141,Danny White,19.0,0.0,15.0,0.5588235294117647,34.0
142,Danny Wuerffel,1.0,0.0,4.0,0.2,5.0
143,Daryle Lamonica,20.0,2.0,13.0,0.6,35.0
144,Daunte Culpepper,14.0,0.0,37.0,0.27450980392156865,51.0
145,Dave Brown,4.0,0.0,23.0,0.14814814814814814,27.0
146,Dave Krieg,33.0,0.0,50.0,0.39759036144578314,83.0
147,Dave Mays,0.0,0.0,2.0,0.0,2.0
148,Dave Walter,1.0,0.0,1.0,0.5,2.0
149,Dave Wilson,4.0,0.0,12.0,0.25,16.0
150,David Archer,2.0,1.0,8.0,0.22727272727272727,11.0
151,David Blough,0.0,0.0,3.0,0.0,3.0
152,David Carr,6.0,0.0,32.0,0.15789473684210525,38.0
153,David Garrard,9.0,0.0,22.0,0.2903225806451613,31.0
154,David Humm,0.0,0.0,1.0,0.0,1.0
155,David Klingler,1.0,0.0,11.0,0.08333333333333333,12.0
156,David Norrie,0.0,0.0,1.0,0.0,1.0
157,David Whitehurst,3.0,1.0,15.0,0.18421052631578946,19.0
